,0
0,-4.001103604394286
1,-8.980474378173973
2,-0.4471297496285308
3,-8.996795751420148
4,-7.175275478311235
5,1.5236683769107207
6,-6.498278852280695
7,-1.0904058827517524
8,-4.1350006284994665
9,-13.806623358919733
10,-2.408931389650961
11,-3.5200679415771745
12,-0.8214175173067643
13,-10.501773579005217
14,-2.6872535862580986
15,0.6982807681886126
16,0.1754890301270433
17,4.047746145619008
18,2.3197511751207838
19,-5.816506919300154
20,-6.900300074806051
21,-14.063983456052744
22,-1.9833756724325542
23,-3.4246401402655016
24,1.3693558321293002
25,1.9460069790383518
26,3.5769613476884485
27,-0.1473239851913839
28,-10.404651388841298
29,-8.659406777614716
30,-17.077093964325464
31,-13.770178272334622
32,-11.057103916685316
33,0.7132630568262823
34,-9.557938391900066
35,-4.637259127513037
36,-5.343274452440339
37,-6.500965898225197
38,-3.767057537724364
39,-2.788552249010044
40,0.4118542475711142
41,-1.6346605066966697
42,-5.61382626761338
43,-3.943076928328884
44,-3.993092223224281
45,0.32064057904641763
46,-4.760234029548849
47,-4.7339515030111645
48,-8.103426099540348
49,0.7132158225710609
50,-8.486889093322896
51,-8.675958453803904
52,-0.36786446975647025
53,1.0545677966351519
54,1.765504400939824
55,-2.8632076642206816
56,1.6135914638876252
57,1.6999246691042464
58,-0.788581009054965
59,-6.118834148270094
60,-7.103012109924849
61,-7.260768099839659
62,-2.371978541876609
63,-12.411752912721369
64,-15.420525114085429
65,-4.552595736009341
66,-4.895887601936102
67,1.2904434322259364
68,-8.830979810772039
69,-3.527186436601833
70,-5.215260691264867
71,-4.9093397700581525
72,-7.264970491092061
73,-9.980780278452098
74,-5.34913237817052
75,-9.938048087232255
76,-2.4822948563790304
77,-8.282309245402569
78,-2.420902692395555
79,-7.372133834355324
80,-1.1767975055137874
81,-1.8517774563642666
82,-9.829227077727612
83,-15.656919874643853
84,-4.991080800673713
85,-4.7244923068127145
86,-8.365520985856612
87,-7.529900712340365
88,-4.515458873738118
89,-6.912265314342361
90,-4.189814266649531
91,-2.487847873102105
92,-4.339578586924015
93,-6.266881553622982
94,-6.032864102262526
95,-5.2379438177335755
96,-2.2281476979543164
97,-5.26783015850309
98,-4.301111126792782
99,-7.350089913992047
100,-10.979767945623777
101,-4.646486950900068
102,-1.4094652590559842
103,-17.173781880966523
104,3.5166960206406768
105,-2.2572563599005204
106,-9.35181065725871
107,-11.163674412191376
108,-14.761787493340176
109,-8.939743859137268
110,-13.585088177491338
111,-9.33884033889518
112,-10.054535921859916
113,-5.596471786324652
114,-9.061103399533883
115,-4.937416981194493
116,8.608101119367
117,0.7322439043637511
118,3.9325984517887633
119,-3.9910866634873683
120,-3.981597652427344
121,-5.666538355518188
122,4.432423343567235
123,-1.0197240481002474
124,-15.795086814274908
125,-6.615008481400131
126,-2.8594688314612924
127,2.6812188850660177
128,2.9817646454099758
129,-5.35368315150382
130,6.995955286431528
131,1.6236544473772745
132,-1.584136487039169
133,1.3098535123530624
134,6.087972092063286
135,-2.845713099771996
136,-2.7384682798020084
137,-6.6727034407303805
138,4.441603449554578
139,-6.20481854073218
140,-0.17939189038948222
141,-3.7875944233484518
142,-0.30498668345409174
143,-32.72084201807832
144,-35.40050262401772
145,-4.02982283496418
146,-3.4969772039324725
147,-11.548581932584707
148,-5.938383970972241
149,5.649765812387199
150,-1.6687337881300002
151,-8.80742235232471
152,-8.28997527598224
