,0
79,(12.42463851131259+0j)
80,(1.9045278473948106+0j)
81,(9.835337405174622+0j)
82,(-7.140386606892347+0j)
83,(-1.71117311455876+0j)
84,(17.436230463968972+0j)
85,(10.870717001644016+0j)
86,(6.793815620935685+0j)
87,(2.839768852559266+0j)
88,(9.853280080194756+0j)
89,(-1.7917721278678969+0j)
90,(3.9829379996338763+0j)
91,(3.3206809684626033+0j)
92,(10.023292693910232+0j)
93,(1.6793016218839545+0j)
94,(11.60977306695199+0j)
95,(14.721515070375679+0j)
96,(-8.931479664267217+0j)
97,(5.273686583552648+0j)
98,(10.016436052494837+0j)
99,(3.28662317947261+0j)
100,(-2.0664959982734175+0j)
101,(4.798876967591173+0j)
102,(12.114065857391058+0j)
103,(5.483694441274484+0j)
104,(6.475513758026284+0j)
105,(11.35988502569056+0j)
106,(-2.0986884579009843+0j)
107,(7.58280224007028+0j)
108,(-1.8230092225228198+0j)
109,(7.545586192642023+0j)
110,(5.150054174560374+0j)
111,(6.646034918449729+0j)
112,(8.310524511375437+0j)
113,(8.976288704243036+0j)
114,(5.137740633128837+0j)
115,(14.357382575893334+0j)
116,(100.73334072909314+0j)
117,(6.698756110610667+0j)
118,(13.933914634181075+0j)
119,(3.410382436429076+0j)
120,(12.41585801880464+0j)
121,(6.427699117210972+0j)
122,(10.797538108981286+0j)
123,(5.38163800144054+0j)
124,(-3.8546748392660595+0j)
125,(-2.128626799710077+0j)
126,(2.025813141115684+0j)
127,(0.677336381513004+0j)
128,(7.3043484189477015+0j)
129,(-0.819414089333187+0j)
130,(11.226909141122773+0j)
131,(8.090195989254942+0j)
132,(1.108705255439149+0j)
133,(16.161521588579866+0j)
134,(13.620461270763874+0j)
135,(8.859469139790574+0j)
136,(-0.6384520109577188+0j)
137,(3.953064045053168+0j)
138,(-4.006257952097295+0j)
139,(-1.064251131631383+0j)
140,(-0.08728879869524803+0j)
141,(2.6755137458245453+0j)
142,(7.960152866963779+0j)
143,(1.8660878753670642+0j)
144,(6.085737456764681+0j)
145,(11.104104539440257+0j)
146,(9.66628543172761+0j)
147,(2.4580780889949785+0j)
148,(13.085557731082933+0j)
149,(9.952743822603114+0j)
150,(8.245819733930611+0j)
151,(8.55474479909363+0j)
152,(5.6064363476359365+0j)
153,(5.557370515488477+0j)
154,(2.946780665189768+0j)
155,(4.452572916428483+0j)
156,(4.904874105207026+0j)
157,(11.491858362787866+0j)
158,(10.422970005098207+0j)
159,(8.163297374900761+0j)
160,(2.8976739156150115+0j)
161,(11.836436335570928+0j)
162,(12.935883264242003+0j)
163,(14.289859399529798+0j)
164,(11.19224214774786+0j)
165,(7.820360511453595+0j)
166,(8.73863217389136+0j)
167,(13.160748655883303+0j)
168,(3.86035704848081+0j)
169,(8.789009339578508+0j)
170,(3.813801644031169+0j)
171,(8.555520634481569+0j)
172,(4.8990353575932115+0j)
173,(13.472335374240572+0j)
174,(13.633346652547708+0j)
175,(9.990180898350708+0j)
176,(13.915164442672605+0j)
177,(16.498966569894655+0j)
178,(3.6603255137141053+0j)
179,(11.360500315360513+0j)
180,(14.348282180559217+0j)
181,(8.268547720695535+0j)
182,(14.38045663988824+0j)
183,(3.1096534193564844+0j)
184,(4.192582143007344+0j)
185,(5.546161346335557+0j)
186,(4.383836426902383+0j)
187,(12.387133002171847+0j)
188,(13.381764131727394+0j)
189,(9.41072578482413+0j)
190,(8.45298329835195+0j)
191,(4.304405338077671+0j)
192,(-0.7509573629135471+0j)
193,(6.958950728205749+0j)
194,(10.848502851600987+0j)
195,(10.939788829681932+0j)
196,(3.8558713156446496+0j)
197,(7.014144214521532+0j)
198,(-3.570635196320254+0j)
199,(2.0804886408331322+0j)
200,(8.012249813761933+0j)
201,(15.431821832741491+0j)
202,(9.48124458426126+0j)
203,(11.116793294592405+0j)
204,(13.98480337652748+0j)
205,(2.949375756248942+0j)
206,(10.598979975227618+0j)
207,(13.649939964763483+0j)
208,(13.965198307724005+0j)
