,0,1
46,(11.720165670112195+0j),(5.972015737313033+0j)
47,(14.149429092555978+0j),(6.952169662687725+0j)
48,(12.335197460963169+0j),(8.166783168560677+0j)
49,(13.642998862375382+0j),(5.638632301533434+0j)
50,(8.9888223516528+0j),(11.752386021783424+0j)
51,(15.064578791361072+0j),(7.1343702896751084+0j)
52,(10.904876206179546+0j),(9.054657933558639+0j)
53,(12.739017217919223+0j),(11.655961378088309+0j)
54,(6.8573976087395625+0j),(8.295236419425345+0j)
55,(11.434985171529478+0j),(10.849054641245889+0j)
56,(15.694636820592901+0j),(8.018379362079052+0j)
57,(13.898684304382495+0j),(3.591039620780857+0j)
58,(9.886855592831402+0j),(6.46181926349526+0j)
59,(9.058904786354315+0j),(6.59646561580512+0j)
60,(9.661445101279982+0j),(8.402358404614265+0j)
61,(2.6232278927241484+0j),(15.296891801981227+0j)
62,(-5.6036970337570144+0j),(9.710506907910464+0j)
63,(4.495624311104067+0j),(10.634006006246802+0j)
64,(6.036200297028376+0j),(10.74496236730876+0j)
65,(6.05240497772582+0j),(5.598589082805891+0j)
66,(13.942756026263481+0j),(7.61142314362601+0j)
67,(3.7593391672936676+0j),(2.451017133354118+0j)
68,(-4.3573968155346074+0j),(5.118710259576502+0j)
69,(-6.161748744235435+0j),(5.357169168384318+0j)
70,(14.31771690255657+0j),(9.245862798757988+0j)
71,(9.208608472339698+0j),(2.9018083907889722+0j)
72,(5.2752467202020785+0j),(10.011710886123124+0j)
73,(10.332479582572027+0j),(8.48337167312807+0j)
74,(8.130268273282754+0j),(5.393658181237538+0j)
75,(3.0957880778177564+0j),(10.845441402543475+0j)
76,(9.6456359261383+0j),(6.788087777313791+0j)
77,(8.716035121415109+0j),(14.230987527409308+0j)
78,(-6.4075479307520755+0j),(-0.4708684942729523+0j)
79,(12.42463851131259+0j),(17.095250302503725+0j)
80,(1.9045278473948106+0j),(3.4716406527747585+0j)
81,(9.835337405174622+0j),(-2.5911322664552863+0j)
82,(-7.140386606892347+0j),(-0.5753426426555227+0j)
83,(-1.71117311455876+0j),(14.153193890040368+0j)
84,(17.436230463968972+0j),(9.83062393269673+0j)
85,(10.870717001644016+0j),(4.5354780481502655+0j)
86,(6.793815620935685+0j),(7.357307807693636+0j)
87,(2.839768852559266+0j),(13.64905986005741+0j)
88,(9.853280080194756+0j),(4.078807292720601+0j)
89,(-1.7917721278678969+0j),(14.581843408630883+0j)
90,(3.9829379996338763+0j),(5.25050639621487+0j)
91,(3.3206809684626033+0j),(5.185467243979255+0j)
92,(10.023292693910232+0j),(9.364670621117812+0j)
93,(1.6793016218839545+0j),(2.2030213021005256+0j)
94,(11.60977306695199+0j),(8.13245564348649+0j)
95,(14.721515070375679+0j),(13.883062007758591+0j)
96,(-8.931479664267217+0j),(4.374105329366726+0j)
97,(5.273686583552648+0j),(6.0133456737865805+0j)
98,(10.016436052494837+0j),(7.671256251842246+0j)
99,(3.28662317947261+0j),(14.037996898144298+0j)
100,(-2.0664959982734175+0j),(14.042964352993762+0j)
101,(4.798876967591173+0j),(2.483325875858809+0j)
102,(12.114065857391058+0j),(3.1578619769251337+0j)
103,(5.483694441274484+0j),(9.895589155037545+0j)
104,(6.475513758026284+0j),(5.1432277758554426+0j)
105,(11.35988502569056+0j),(4.422418971948336+0j)
106,(-2.0986884579009843+0j),(7.934378941870693+0j)
107,(7.58280224007028+0j),(11.902224103004905+0j)
108,(-1.8230092225228198+0j),(11.103274062658903+0j)
109,(7.545586192642023+0j),(7.6906632203032546+0j)
110,(5.150054174560374+0j),(8.883188277772046+0j)
111,(6.646034918449729+0j),(8.805211349449534+0j)
112,(8.310524511375437+0j),(12.547208014940175+0j)
113,(8.976288704243036+0j),(11.634179220552538+0j)
114,(5.137740633128837+0j),(9.096935491543443+0j)
115,(14.357382575893334+0j),(7.2928388889151465+0j)
116,(100.73334072909314+0j),(34.23632709453087+0j)
117,(6.698756110610667+0j),(5.836497356829098+0j)
118,(13.933914634181075+0j),(5.94999623893697+0j)
119,(3.410382436429076+0j),(7.83372770593533+0j)
120,(12.41585801880464+0j),(7.982881059820466+0j)
121,(6.427699117210972+0j),(5.420681102195639+0j)
122,(10.797538108981286+0j),(2.8895807540035183+0j)
123,(5.38163800144054+0j),(7.156439194891721+0j)
124,(-3.8546748392660595+0j),(34.28281273261507+0j)
125,(-2.128626799710077+0j),(27.403358718251894+0j)
126,(2.025813141115684+0j),(20.29180074138189+0j)
127,(0.677336381513004+0j),(12.124085156811645+0j)
128,(7.3043484189477015+0j),(11.735210935952217+0j)
129,(-0.819414089333187+0j),(36.503782679089724+0j)
130,(11.226909141122773+0j),(-0.5297423071649869+0j)
131,(8.090195989254942+0j),(11.613889408046052+0j)
132,(1.108705255439149+0j),(7.930939542037419+0j)
133,(16.161521588579866+0j),(6.810811218961347+0j)
134,(13.620461270763874+0j),(5.228504410424531+0j)
135,(8.859469139790574+0j),(9.120183530221425+0j)
136,(-0.6384520109577188+0j),(6.217038270623189+0j)
137,(3.953064045053168+0j),(9.129781393663288+0j)
